decade,text,dimensionality
1989,Cold a snake Look into his been a boy at play He don't play by don't play the no You're the one up the love he it But you turn your back and then off and with the crowd You're the one to sacrifice Anything to please him Do you think he about you when a snake Look into his been a boy at play He don't play by don't play the no It was only late last night He was out there Then he you up to check that you were by the phone All the a candy store been trick or When it to true with him no one home a snake Look into his been a boy at play He don't play by don't play the no You could find somebody girl He could only make you cry You deserve somebody girl as ice cold as ice cold as ice Stay away from girl a snake Look into his been a boy at play He don't play by the don't play the fool look into his been he don't play by don't play the fool a snake Look into his been a boy at play He don't play by the don't play the fool a snake Look into his been,17
1989,Lose You hard to make clear Or know when to face the truth And I know that the moment is here open my heart and show you inside My love has no pride I feel with you got nothing to hide So open your and see who I am And not who you want for me to be I am only myself I don't lose you now We're get through somehow I don't lose you now or I found The courage to stand my ground But if you want me be around forever We all make We all lose our way But we stood the test of time And I hope the way it will stay all up to you to tell me to go it won't be me to walk away When you're all that I know And I know that I don't lose you now We're get through somehow I don't lose you now or never I found The courage to stand my ground But if you want me be around forever yeah I don't lose you Lose you now We're get through somehow I don't lose you now I don't lose you I don't lose,23
1989,Once Bitten Twice Shy Well the are hard for little girl a and a all over world You can't when you got your last meal And you don't know just how a woman You didn't know what rock and roll was Until you met my on a grey tour bus I got there in the nick of time Before he got his across your state line Now the middle of the night on the open road And the heater don't work and oh so cold You're you're kind of beat The rhythm of the street sure you off your feet You didn't know how rock and roll Until you caught your sister with the from the group Half way home in the lot By the look in her eye she was what she got once twice baby once twice baby once twice baby Woman you're a mess to die in your sleep blood on my amp and my beat Can't keep you you're around My best friend told me you're the best lick in town You didn't know that rock and roll So you bought a candle and you and you You got the rhythm you got the speed little baby it short and sweet once twice baby once twice baby once twice baby I didn't know you had a rock and roll Until I saw your picture on another jacket You told me I was the only one But look at you dark as dumb once twice baby once twice baby once twice baby once twice baby So so so so shy So so so so,28
1989,Tough oh oh oh oh Listen if you take a chance Just get on the floor and do the New dance Don't worry it won't take long We're put you in a trance with a funky song you be tough tough tough Are you tough tough tough tough We're rough oh oh always on top Don't cross our you're get We ain't give anybody any slack And if you try to keep us we're come right back And you know we're tough tough tough Are you tough tough tough tough We're rough oh oh oh oh Get loose we're do our thing you know it ain't over the fat lady Now check it out tough just tough tough just tough tough just tough,13
1989,Me with Your Love heart is with so much love And I need someone I can call my own To fall in what of I hold this so strong Life is too short to live alone Without someone to call my own I will care for you will care for me Our love will live forever me with your love me with the love that I long for me with your love me with the love been for I close my and pray all my come true Every night I go to sleep Until you're wait for you Can't you see Fairy they do come true If you it could happen to you Like the that shine way up in the sky Our love will live forever me with your love me with the love that I long for me with your love me with the love been for Like the that shine way up in the sky Our love will live forever Live forever me with your love me with the love that I long for me with your love me with the love been for me with your love me with the love been,20
1989,One I feel my heartbeat When you run your through my hair I can tell you I can feel you by my side when you're not there Just as my life to You you make me see the light Show me that my search is over I pay the I pay the price Tell you someday you and I should be one Do it than the eye can we hide the sun The taste of love is sweet like honey on the vine Like the wind that the two become Someday baby you and I should be one So this Tall enough to touch the New oh My love is so blind I just cannot hear or see the world go oh Someone can love so One kiss should break the seal Truth can be than fiction This love is real This love is real Tell you someday you and I should be one Do it than the eye can we hide the sun Ah we are we are one I will follow Count on never let you oh My devotion If love is like an ocean I will oh You'll be my only possession be a slave to you We hold the power together Just me and you Just me and you Tell you someday you and I should be one Do it than the eye can we hide the sun Tell you someday you and I should be one know my life is in your And every breath you take is And all this love goes on Tell you someday you and I should be one Do it someday you and I should be one Do it someday you and I should be one Tell you someday you and I should be one Do it someday you and I should be one Do it someday you and I should be,35
1989,on the Wind mi y y y Down this wild street a child with no trace Of being as young as her sister is A local crush the would hide out and watch Her on the line all the time More like a she dress like one She was the first girl She was the first girl to turn the on around her finger So young love was only This got another story When they are gone she them on the wind no me At the halfway down the block All the to the way she Past the where her Sweet liberty is what it More like a she dress like one She was the first she was the first to turn the on around her finger So young love was only This got another story When they are gone she them on the wind no me mi amigo Ah it doesn't you know what Ah forget it because there man you You can follow me but you know what don't make me say it no The price of got a way of It doesn't come in easy Her face in the won't leave it She a bell to ring the More like a woman she like one She was the first she was the first to turn the on around her finger So young love was only This got another story When they are gone she them on the wind around her finger So young love was only This got another story When they are gone she them on the wind around her finger So young love was only This got another story When they are gone she them on the wind around her finger So young love was only This got another story When they are gone she them on the,23
1989,The End of the when the were long And beneath a deep blue sky Didn't have a care in the world With mommy and daddy by But And we've been by these fairy The dwell on small Since daddy had to fly but I know a place where we can go Still by men Sit and watch the roll by And the tall grass in the wind You can lay your head back on the ground And let your hair fall all around me Offer up your best But this is the end This is the end of the for spacious But now those are They're into For this old man that we king Armchair often fail And we've been by these fairy The clean up all Since daddy had to lie but I know a place where we can go And wash away this sin We'll sit and watch the roll by And the tall grass in the wind Just lay your head back on the ground And let your hair spill all around me Offer up your best But this is the end This is the end of the Who how long this will last Now we've come so so fast somewhere back there in the dust That same small town in each of us I need to this So baby give me just one kiss And let me take a long last look Before we say goodbye Just lay your head back on the ground And let your hair fall all around me Offer up your best But this is the end This is the end of the Oh,32
1989,Secret Rendezvous is when I think of you And when we get together and rendezvous be on you bring the wine And when we lock the you'll be all mine Alone in my room of you in my head As I wait The time is soon You'll arrive Together then We'll escape Into the night on of love And do the that we once of All aboard a luxury A first class ticket to ecstasy It won't stop It don't stop Our secret rendezvous It won't stop It don't stop Our secret rendezvous hey oh From a penthouse view We'll make love Drink champagne by candlelight so glad in your I am tonight To be with you is all I need So lock the door and throw away the key No one will disturb this groove We could not stop it if we to It won't stop It don't stop Our secret rendezvous It won't stop It don't stop Our secret rendezvous hey hey oh Secret rendezvous is when I think of you And when we get together and rendezvous be on you bring the wine And when we lock the you'll be all mine I want you Do you want I lock the door Throw away the key yeah No Baby I just be with you It won't stop It don't stop Our secret rendezvous I rendezvous by candlelight I hug and squeeze you through the night So lock the throw away the key Ecstasy I can't let no one disturb this groove I couldn't stop it if I to you for me And me for you In a secret rendezvous It won't stop It don't stop Our secret rendezvous It won't stop It don't stop Our secret rendezvous I rendezvous by candlelight I hug and squeeze you through the night So lock the throw away the key Ecstasy I can't let no one disturb this groove I couldn't stop it if I to you for me And me for you In a secret rendezvous It won't stop It don't stop Our secret rendezvous It won't stop It don't stop Our secret,40
1989,So Alive I don't know what your baby But your hair is long and brown Your are and you're so long And you don't come from this town My head is full of baby And I can't share this with you Feel on a cross But nothing to do with you so alive so alive Your strut me crazy me see you more now I can see you Wish I could stop Switch off the clock Make it all happen for you so alive so alive I don't know what your baby But your hair is long and brown Your are and you're so long And you don't come from this town My head is full of baby And I can't share this with you I feel on top baby got everything to do with you so alive so alive Du du du du du Du du du du du Du du du du du Du du du du du Du du du du du Du du du du du Du du du du du,17
1989,Toy Step by step Heart to heart left We all fall down Like toy It wasn't my intention to you It never should have been this way What can I true I did extend the invitation I never knew how long you'd stay When you hear temptation call your heart that the fall Step by step Heart to heart left We all fall down Like toy Bit by bit Torn apart We never win But the battle on For toy hard to wake up in the My head is How can it How could I be so blind to this If I don't stop The next be me Only It all All the pain Step by step Heart to heart left We all fall down Like toy Bit by bit Torn apart We never win But the battle on For toy Only It all All the pain Step by step Heart to heart left We all fall down Like toy Bit by bit Torn apart We never win But the battle on For toy Step by step Heart to heart left We all fall down Like toy Bit by bit Torn apart We never win But the battle on For toy,25
1989,If You Know Me by Now If you don't know me by now You will never know All the that we've been through You should me like I you Now girl I know the between right and wrong I ain't do nothing to break up our happy home Don't get so when I come home a little late at night we only act like children when we fuss and fight If you don't know me by now You will never know me If you don't know by now You will never know We've all got our own funny got you've got too Just trust in me like I trust in you As long as we've been together it should be so easy to do Just get yourself together or we might as well say goodbye What good is a love affair when we can't see eye to eye If you don't know me by now You will never know me If you don't know by now You will never know If you don't know me by now You will never know,20
1989,Lay Your on Me If you're and able Help me lay my out on the table You're mine and for the Right now the we made are meant for What you get ain't always what you see But They say what you give is always what you need So if you want me to lay my on you Lay your on me Lay your on me Lay your on me Lay your on me Lay your on me Lay your on me a a a been to school and been the If you show me how to get up off the ground I can show you how to fly and never come back down Everything you want is what I need But the ride don't never come for free If you want me to lay my on you Lay your on me Lay your on me Lay your on me Lay your on me Lay your on me Lay your on me Don't you know I only aim to please If you want me to lay my on you Lay your on,18
1989,Baby Forget My This for you don't be shy When you're my hand as time goes by You got to you in your I see it so that our love is so strong And you'll never go wrong I do the best for you So when you're in doubt And you're someone call my call me be there for you been high been low Don't forget my Love is than thunder Don't forget my Love will see you through been high been low spend my life with you love will see you through in your I see it so that our love is so strong And you'll never go wrong I do the best for you So when you're in doubt And you're someone call my call me be there for you been high been low Don't forget my Love is than thunder Don't forget my Love will see you through been high been low spend my life with you can I dance with love will see you through Baby Love is than thunder Don't forget my Love will see you through Is I don't,16
1989,Express Yourself Come Do you believe in I got something to say about it And it goes something like this Don't go for second baby Put your love to the test You you you've got to Make him express how he And maybe then you'll know your love is real You don't need diamond Or eighteen gold Fancy that go very fast You know they never no no What you need is a big strong hand To lift you to your ground Make you feel like a queen on a throne Make him love you you can't come down Don't go for second baby Put your love to the test You you you've got to Make him express how he And maybe then you'll know your love is real Long stem are the way to your heart But he to start with your head Satin are very romantic What when you're not in You deserve the best in life So if the time isn't then move on Second best is never enough You'll do much on your own Don't go for second baby Put your love to the test You you you've got to Make him express how he And maybe then you'll know your love is real Express yourself You've got to make him express himself hey So if you want it right make him show you how Express what oh ready or not And when you're gone he might regret it Think about the love he once had Try to carry but he just won't get it He'll be back on his To express himself You've got to make him express himself hey What you need is a big strong hand To lift you to your ground Make you feel like a queen on a throne Make him love you you can't come down And when you're gone he might regret it Think about the love he once had Try to carry but he just won't get it He'll be back on his so please Don't go for second baby Put your love to the test You you you've got to Make him express how he And maybe then you'll know your love is real Express yourself You've got to make him express himself hey So if you want it right make him show you how Express what oh ready or not Express yourself So you can respect yourself hey So if you want it right make him show you how Express what oh ready or not Express,34
1989,Buffalo Stance Will you stop this and a and like to introduce the high hat Go Now the right that on the street With his in his and his crocodile off the all And the from they all came They were the on the block with the nasty through down their where did you get good good in every No style rookie You watch don't mess with me No can win my love that of We always hang in a Buffalo Stance We do the dive every time we dance give you love baby not romance make a move nothing left to chance So don't you get fresh with me Get funky Yeah Tell it like it Check out this So you say you money but you know never funny When your worn through and a rumble in your But you had to have style get a gold tooth smile Put a girl on the so you can make a pile Committed a crime and went inside It was your way but you had to survive When you lost your you lost the race Now you're at me to take her place good good in No style rookie You watch don't mess with me No can win my love that of We always hang in a Buffalo Stance We do the dive every time we dance give you love baby not romance make a move nothing left to chance So don't you get fresh with me not Get funky sax hang in with the Wild Bunch good in a Buffalo Stance good when it to the crunch a state of mind State of mind don't look behind you State of mind or you'll be dead State of mind may I you Bomb the rock this What is he he like man what do you expect the a man You know I No can win my love that of We always hang in a Buffalo Stance We do the dive every time we dance give you love baby not romance make a move nothing left to chance So don't you get fresh with me No can win my love that of We always hang in a Buffalo Stance We do the dive every time we dance give you love baby not romance make a move nothing left to chance So don't you get fresh with me Wind on my sound in my Water from my and you on my mind As I down deep into your soul No can win my love that of No can win my love that of No can win my love No can win my love No can win my love No can win my love No,40
1989,Good Thing The one good thing in my life Has gone I don't know why gone I don't know where Somewhere I cannot follow her The one good thing didn't stay too long My back was and she was gone Good thing Where have you My good thing You've been gone too long People say I should forget plenty don't get upset People say fine Mutual I see sometime not what I want to hear I want to hear she me near Good thing Where have you My good thing You've been gone too long Good thing Then one she came back I was so happy that I didn't ask came into my room Caught me like a fool Good my good thing My good where have you gone My good my good thing Where have you gone been so long Good girl Good girl Good girl Good,26
1989,What You Know is not an answer One that I might try to you see Love is only Until you prove your love is here inside for me Can you feel Or can't you never hurt someone as much I know When you see me what you'll get Until I know real it won't change how I feel Don't don't know If you don't know It won't hurt you Don't know What you don't know might hurt You You play with fire I know one day you're be the one to burn Love Is like a game What goes around around you wait your turn a To change with time We'll always be together wait and see If you know me what you'll get Until I know real it won't change how I feel Don't don't know If you don't know It won't hurt you What you don't know Don't know What you don't know Might hurt you Don't know Don't know Don't know oh ho oh If you don't know It won't hurt you Don't know What you don't know might hurt you Know what I got Hey hey hey Not here not now not anywhere Know what I got Hey hey hey If you don't know You won't let go What you don't know No no no no no no no no no Don't don't know Whoa no no no no no no no no no no Don't know What you don't know might hurt you Ho no no no no no no no No no no no no no no no no no no no no no Let me tell you what you don't know won't hurt you baby Something that you don't know won't you hurt no I don't hurt you baby no I don't hurt you baby no I don't hurt you baby no oh oh no no If you don't know You won't let go What you don't know oh oh,37
1989,I Miss You Like Crazy Even though been so long My love for you strong I the that we to do A kiss in the rain the sun through I to deny it but still in love with you I miss you like I miss you like crazy since you went every every day I miss you like I miss you like crazy No what I say or do just no over you I can see the love in your And it as such a sweet surprise If worth the wait So hold me and tell me not too late We're so good we're forever now And I miss you like I miss you like crazy since you went every every day I miss you like I miss baby A love like will never end Just touch me and we're there again Just one night And we'll have the magic like we to do Hold on tight And whatever our way we're make it through If worth the wait So hold me and tell me not too late We're so good we're forever now And I miss you like I miss you like crazy No what I say or do just no over you And I miss I miss baby All the love you gave me When a this strong You know the real thing along And I miss you I miss you like baby Only your sweet love can save me I miss you like crazy A love like will never end Just touch me and we're there again Miss you like I miss you like crazy No what I say or,32
1989,Be You Yeah not that kind of guy who can take a broken heart So don't I don't want to see us part The very thought of you That everything would go down under be you forever be you forever Yeah be you forever be you Yeah I count the that keep our love new one for me and a million for you just so much that I say But when I look at all my get in the way be you forever be you forever Yeah be you forever be you Yeah We've come too far to turn back now This love will last forever I can see it all now be you is forever be only girl Oh girl be only you Be you girl,16
1989,The Doctor a man who in the city a man who in the street From to Bay And everywhere in between Coast to coast a question always me People want to know everywhere I go What can the answer be Music is the doctor you feel like you want to Listen to the doctor Just like you ought to Music is the doctor of my soul Well it that when I travel And out there on the road The freedom I need is the freedom I leave In my good time rock and roll a in those And a spirit in the song No what condition your rhythm is in The message goes on and on Music is the doctor you feel like you want to Listen to the doctor Just like you ought to Music is the doctor of my soul If you wonder How to shake your Just follow this prescription And get the cure for you Music is the doctor you feel like you want to Listen to the doctor Just like you ought to Music is the doctor of my,24
1989,yeah Whoa We work our weary To stay alive There must be more to Than nine to five Why should we wait for some There may not even be a tomorrow Ain't no sense in your mind make it worth the ride Don't you know I won't give up until Don't you know Why should I stop until Ignore the That your Use your And take a chance Won't let my moment of truth pass me by make my now or never And if they turn me loose on this town They're have to hold me down Don't you know I won't give up until Don't you know Why should I stop until Yeah Don't you know Ain't stop up until we're Don't you know We shouldn't stop until we're yeah Don't you know Ain't stop until Yeah Don't you know We won't give up until we're oh Why should I stop before,22
1989,This Time I Know for Real What would I have to do To get you to notice me Do I stand in One of a million Walk a way up high Write your name across the sky crazy just to let you know You'd be how much I love you baby When I get my on I won't let go This time I know for real Should I write or call your Shout it out with a Got to find a way to get the message to you Say I love you with a neon sign Anything to make you mine crazy just to let you know If I wait too long for I might oh baby been around the block enough to know This time I know for real baby This this time This this time baby This this time baby Walk a way up high Write your name across the sky crazy just to let you know You'd be how much I love you baby When I get my on I won't let go This time I know for real crazy just to let you know If I wait too long for I might oh baby been around the block enough to know This time I know for,30
1989,I Drove All Night I had to escape The city was sticky and cruel Maybe I should have you first But I was dying to get to you I was while I drove The long straight road I Could taste your sweet your open wide This fever for you is just me up inside I drove all night to get to you Is that all I drove all night Crept in your room Woke you from your sleep To make love to you Is that all I drove all night What in this world us from No where I go I hear The of your heart I think about you When the night is cold and No one can move me the way that you do Nothing the between me and you I drove all night to get to you Is that all I drove all night Crept in your room Woke you from your sleep To make love to you Is that all I drove all night Could taste your sweet your open wide This fever for you is just me up inside I drove all night to get to you Is that all I drove all night Crept in your room Woke you from your sleep To make love to you I drove all night Taste your sweet your open wide This fever for you is just me up inside I drove all,27
1989,Every Little Step I can't sleep at I toss and turn I can't sleep at night Now now now come down now Oh me The crazy I can't sleep at I toss and turn for the telephone But when I get your all up Can't believe you my home And as a of it my mind You would even talk to me Because a girl like you is like a dream come true A real life fantasy No what your try to tell you We were made to fall in love And we will be any kind of weather like like that Every little step I you will be there Every little step I we'll be together Every little step I you will be there Every little step I we'll be together I can't sleep at I toss and turn for the telephone But when I get your all up Can't believe you my home And as a of it my mind You would even talk to me Because a girl like you is like a dream come true A real life fantasy No what your try to tell you We were made to fall in love And we will be any kind of weather like like that girl Every little step I you will be there Every little step I we'll be together Every little step I you will be there Every little step I we'll be together Everybody to know down Not with the not the but the Bobby Brown Now much as you all know Cause Bobby Brown was good to good to good to go solo Been on the a long long time to bust a stupid rhyme Now on the and real Everybody out there don't talk less about me Cause it steady And when on the don't you dare call me Cause ready to get paid And if anybody in my way they My name is what they call me I drive a SEC And when on the you see me down the block cause and When the to drop my spot When on the People leave me alone Cause I don't don't give a damn My name is and not Uncle bop shoo bop shoo No what your try to tell you We were made to fall in love We will always be any kind of weather like like that Every little step I you will be there Every little step I we'll be together Every little step I you will be there Every little step I we will be,46
1989,Forever Your Girl Hey baby You forever your girl And forever and and pick your head up Come on and look me in the face I can tell that is you down Is it the that another boy to take your Have you been the They're around just I gave you my heart Ain't no one tear us apart He could promise the moon and the above Even if he me the world Just forever your girl He could promise the world You forever your girl listen to me Your love is all I need You should know that I don't need that money can buy So if a boy were to come along And try to make me leave you There'd be no need to worry you why don't you know that I love And never put nobody above He could promise the moon and the above Even if he me the world Just forever your girl He could promise the world You forever your girl forever your baby Just forever your girl He could promise the world Hey just forever your girl When the crumble into the sea the day someone'll come between you and me just I gave you my heart Ain't no one tear us apart he could promise me Even if he me you know I ain't Listen as I tell it to the world Just Just forever and and We'll be together forever your girl forever and and We'll be together forever your girl forever and and We'll be together forever your girl Hey he could promise the world you know I love you And I always will If we live forever be you be you still Just forever your girl Forever your girl Just forever your,37
1989,four Shed a tear still to smile I think about you every day now Was a time when I wasn't but you set my mind at ease There is no doubt you're in my heart now take it slow and it'll work itself out fine All we need is just a little make it slow and we'll come together fine All we need is just a little I sit here on the rather be alone If I can't have you right dear I get so but I can't speed up the time But you one more thing to consider take it slow and will be just fine You and just use a little take the time the are bright You and got what it to make it We won't fake never break I can't take it been the at night Just to get it right hard to see with so many around You know I don't like stuck in the crowd the don't but maybe the I ain't got time for the game I need you but I need you I need you I need you this time,22
1989,Be There for You I guess this time you're I heard your suitcase say goodbye Well as my broken heart You say true love is suicide You say you've a thousand And now you're for the shore You left me in my And you won't save me to God you'll give me one more girl be there for these five I swear to you When you breathe I want to be the air for be there for you live and die for steal the sun from the sky for you can't say what love can be there for you I know you know we've had some good Now they have their own place I can promise you tomorrow But I can't buy back yesterday you know my are dirty But I to be your valentine be the water when you get baby When you get be the wine be there for these five I swear to you When you breathe I want to be the air for be there for you live and die for steal the sun from the sky for you can't say what love can be there for you And I wasn't there when you were happy I wasn't there when you were down I didn't mean to miss your baby I wish seen you blow those out be there for these five I swear to you When you breathe I want to be the air for be there for you live and die for steal the sun from the sky for you can't say what love can be there for be there for these five I swear to you When you breathe I want to be the air for be there for you live and die for steal the sun from the sky for you can't say what love can be there for you,25
1989,Soldier of Love you heard that a rebel With a heart made of stone I got a spirit That nobody can own If a picture a story Won't you listen to mine for the answer But so hard to find You'll see much When you read between the a fire in my Like a thief in the night Who can't get enough I am to fight a soldier of love Like a shot in the dark When the rough a state of the heart When you're a soldier of love I to fight Love can be so When you turn out the A mutual surrender In the heat of the night an empty picture When you're alone Maybe the reason Every heart a home Each time I fall down I get on my feet again win this battle In the end Like a thief in the night Who can't get enough I am to fight a soldier of love Like a shot in the dark When the rough a state of the heart When you're a soldier of love You'll see much When you read between the Cause a fire in my Like a thief in the night Who can't get enough I am to fight a soldier of love Like a shot in the dark When the rough a state of the heart When you're a soldier of love when the rough a soldier of love when the rough a soldier for your love Like a thief in the night Who can't get enough I am to fight a soldier of love Like a shot in the dark When the rough a state of the heart When you're a soldier of,27
